iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
ECU,South America,Ecuador,2020-05-22,35306.0,452.0,686.286,2939.0,51.0,85.857,2001.127,25.619,38.898,166.581,2.891,4.866,,,,,,,,,59535.0,2409.0,3.374,0.137,1665.0,0.094,,,people tested,86.11,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-05-23,35828.0,522.0,623.0,3056.0,117.0,66.0,2030.713,29.587,35.311,173.213,6.632,3.741,,,,,,,,,60696.0,1161.0,3.44,0.066,1525.0,0.086,,,people tested,86.11,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-05-24,36258.0,430.0,499.286,3096.0,40.0,58.286,2055.086,24.372,28.299,175.48,2.267,3.304,,,,,,,,,61927.0,1231.0,3.51,0.07,1505.0,0.085,,,people tested,86.11,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-05-25,36756.0,498.0,510.571,3108.0,12.0,53.143,2083.312,28.226,28.939,176.16,0.68,3.012,,,,,,,,,64195.0,2268.0,3.639,0.129,1640.0,0.093,,,people tested,86.11,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-05-26,37355.0,599.0,539.0,3203.0,95.0,57.714,2117.263,33.951,30.55,181.544,5.385,3.271,,,,,,,,,64777.0,582.0,3.672,0.033,1566.0,0.089,,,people tested,86.11,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-05-27,37355.0,0.0,457.714,3203.0,0.0,52.0,2117.263,0.0,25.943,181.544,0.0,2.947,,,,,,,,,66360.0,1583.0,3.761,0.09,1568.0,0.089,,,people tested,86.11,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-05-28,38103.0,748.0,464.143,3275.0,72.0,55.286,2159.659,42.396,26.307,185.625,4.081,3.134,,,,,,,,,67139.0,779.0,3.805,0.044,1430.0,0.081,,,people tested,86.11,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-05-29,38471.0,368.0,452.143,3313.0,38.0,53.429,2180.517,20.858,25.627,187.779,2.154,3.028,,,,,,,,,67718.0,579.0,3.838,0.033,1169.0,0.066,,,people tested,86.11,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-05-30,38571.0,100.0,391.857,3334.0,21.0,39.714,2186.185,5.668,22.21,188.969,1.19,2.251,,,,,,,,,68231.0,513.0,3.867,0.029,1076.0,0.061,,,people tested,86.11,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-05-31,38571.0,0.0,330.429,3334.0,0.0,34.0,2186.185,0.0,18.729,188.969,0.0,1.927,,,,,,,,,68988.0,757.0,3.91,0.043,1009.0,0.057,,,people tested,86.11,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-06-01,39098.0,527.0,334.571,3358.0,24.0,35.714,2216.055,29.87,18.963,190.33,1.36,2.024,,,,,,,,,71422.0,2434.0,4.048,0.138,1032.0,0.058,,,people tested,77.78,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-06-02,39994.0,896.0,377.0,3394.0,36.0,27.286,2266.84,50.785,21.368,192.37,2.04,1.547,,,,,,,,,72769.0,1347.0,4.125,0.076,1142.0,0.065,,,people tested,77.78,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-06-03,40414.0,420.0,437.0,3438.0,44.0,33.571,2290.646,23.805,24.769,194.864,2.494,1.903,,,,,,,,,74728.0,1959.0,4.236,0.111,1195.0,0.068,,,people tested,77.78,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-06-04,40966.0,552.0,409.0,3486.0,48.0,30.143,2321.933,31.287,23.182,197.585,2.721,1.708,,,,,,,,,76143.0,1415.0,4.316,0.08,1286.0,0.073,,,people tested,77.78,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-06-05,40966.0,0.0,356.429,3486.0,0.0,24.714,2321.933,0.0,20.202,197.585,0.0,1.401,,,,,,,,,78279.0,2136.0,4.437,0.121,1509.0,0.086,,,people tested,77.78,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-06-06,41575.0,609.0,429.143,3534.0,48.0,28.571,2356.451,34.518,24.324,200.305,2.721,1.619,,,,,,,,,79123.0,844.0,4.485,0.048,1556.0,0.088,,,people tested,77.78,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-06-07,42728.0,1153.0,593.857,3608.0,74.0,39.143,2421.802,65.351,33.66,204.5,4.194,2.219,,,,,,,,,80376.0,1253.0,4.556,0.071,1627.0,0.092,,,people tested,77.78,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-06-08,43120.0,392.0,574.571,3621.0,13.0,37.571,2444.02,22.218,32.566,205.237,0.737,2.13,,,,,,,,,80796.0,420.0,4.579,0.024,1339.0,0.076,,,people tested,77.78,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-06-09,43378.0,258.0,483.429,3642.0,21.0,35.429,2458.644,14.623,27.4,206.427,1.19,2.008,,,,,,,,,82279.0,1483.0,4.664,0.084,1359.0,0.077,,,people tested,77.78,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-06-10,43917.0,539.0,500.429,3690.0,48.0,36.0,2489.194,30.55,28.364,209.147,2.721,2.04,,,,,,,,,83400.0,1121.0,4.727,0.064,1239.0,0.07,,,people tested,77.78,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
